ds,scheme,rule,eta,lam_end_frac,mse,loss,nnz,ep,time,type
california,nesterov,random,0.950000,0.001000,4.803311,49637.813754,8,90000.000000,3.324399,best_mse
california,nesterov,random,0.850000,0.001000,4.803314,49637.813651,8,29000.000000,1.010060,best_mse
california,bcm,block_shuffle,0.950000,0.001000,4.803315,49637.813788,8,3010.000000,1.988408,best_mse
california,bcm,shuffle,0.950000,0.001000,4.803315,49637.813788,8,3012.000000,1.971342,best_mse
california,bcm,cyclic,0.950000,0.001000,4.803315,49637.813788,8,2993.000000,1.926760,best_mse
california,nesterov,random,0.850000,0.010000,4.808867,50200.636431,7,15000.000000,0.483559,best_mse
california,nesterov,random,0.950000,0.010000,4.808938,50200.656531,7,44641.000000,1.459725,best_mse
california,prox_lin,random,0.850000,0.010000,4.809018,50200.665795,7,1797.000000,0.254111,best_mse
california,prox_linear_ext,random,0.850000,0.010000,4.809018,50200.665795,7,1599.000000,0.231356,best_mse
california,bcm,cyclic,0.850000,0.010000,4.809018,50200.665797,7,584.000000,0.337738,best_mse
california,prox_linear_svrg,shuffle,0.950000,0.100000,4.930830,53288.651688,4,300.000000,0.007795,best_mse
california,nesterov,random,0.500000,0.100000,4.948631,52823.537217,4,1000.000000,0.028371,best_mse
california,nesterov,random,0.700000,0.100000,4.948631,52823.537217,4,1000.000000,0.024999,best_mse
california,nesterov,random,0.300000,0.100000,4.953038,52814.270983,3,1000.000000,0.028209,best_mse
california,prox_linear_ext,random,0.500000,0.100000,4.953074,52814.270667,3,24.000000,0.004349,best_mse
dense_1000x5000,nesterov,random,0.850000,0.001000,0.000119,18.423984,53,29000.000000,28.069146,best_mse
dense_1000x5000,nesterov,random,0.950000,0.001000,0.000119,18.423761,53,90000.000000,87.279609,best_mse
dense_1000x5000,prox_linear_ext,random,0.950000,0.001000,0.000120,18.422480,39,2121.000000,8.582790,best_mse
dense_1000x5000,prox_lin,random,0.950000,0.001000,0.000120,18.422480,39,1720.000000,6.964276,best_mse
dense_1000x5000,prox_point,random,0.950000,0.001000,0.000120,18.422480,39,1673.000000,6.823262,best_mse
dense_1000x5000,prox_point,random,0.850000,0.010000,0.002360,182.814381,20,338.000000,1.365875,best_mse
dense_1000x5000,bcm,gsl_r,0.850000,0.010000,0.002360,182.814381,20,211.000000,8.276292,best_mse
dense_1000x5000,prox_lin,shuffle,0.850000,0.010000,0.002360,182.814381,20,219.000000,0.904877,best_mse
dense_1000x5000,prox_point,cyclic,0.850000,0.010000,0.002360,182.814381,20,205.000000,0.813159,best_mse
dense_1000x5000,bcm,gs_r,0.850000,0.010000,0.002360,182.814381,20,210.000000,8.226221,best_mse
dense_1000x5000,prox_linear_ext,random,0.300000,0.100000,0.214091,1731.389333,20,38.000000,0.155372,best_mse
dense_1000x5000,prox_linear_ext,random,0.700000,0.100000,0.214091,1731.389333,20,36.000000,0.150139,best_mse
dense_1000x5000,prox_lin,random,0.950000,0.100000,0.214091,1731.389333,20,29.000000,0.120645,best_mse
dense_1000x5000,prox_linear_ext,random,0.950000,0.100000,0.214091,1731.389333,20,42.000000,0.173230,best_mse
dense_1000x5000,prox_lin,random,0.850000,0.100000,0.214091,1731.389333,20,31.000000,0.129059,best_mse
dense_500x1000,nesterov,random,0.950000,0.001000,0.000114,8.024344,51,90000.000000,8.687394,best_mse
dense_500x1000,prox_lin,random,0.950000,0.001000,0.000114,8.024252,43,1595.000000,0.643623,best_mse
dense_500x1000,prox_point,random,0.950000,0.001000,0.000114,8.024252,43,1692.000000,0.678499,best_mse
dense_500x1000,prox_linear_ext,random,0.950000,0.001000,0.000114,8.024252,43,2069.000000,0.830116,best_mse
dense_500x1000,bcm,gs_r,0.950000,0.001000,0.000114,8.024252,43,1219.000000,4.626187,best_mse
dense_500x1000,prox_point,random,0.850000,0.010000,0.002184,79.575963,20,390.000000,0.154788,best_mse
dense_500x1000,prox_linear_ext,block_shuffle,0.850000,0.010000,0.002184,79.575963,20,214.000000,0.083644,best_mse
dense_500x1000,prox_lin,cyclic,0.850000,0.010000,0.002184,79.575963,20,208.000000,0.079673,best_mse
dense_500x1000,prox_linear_ext,cyclic,0.850000,0.010000,0.002184,79.575963,20,208.000000,0.079944,best_mse
dense_500x1000,prox_lin,gsl_r,0.850000,0.010000,0.002184,79.575963,20,207.000000,0.163431,best_mse
dense_500x1000,prox_linear_ext,random,0.700000,0.100000,0.179344,753.497398,17,38.000000,0.016488,best_mse
dense_500x1000,prox_linear_ext,random,0.300000,0.100000,0.179344,753.497398,17,37.000000,0.016092,best_mse
