ds,lam_end_frac,scheme,rule,eta,mse,loss,nnz,ep,time,type
california,0.001000,prox_linear_svrg,shuffle,0.300000,9.470109,97837.075138,8,1200.000000,0.038415,fastest
california,0.010000,prox_point,cyclic,0.300000,4.840642,50353.926844,6,109.000000,0.016444,fastest
california,0.100000,prox_linear_ext,cyclic,0.500000,4.953074,52814.270667,3,13.000000,0.002802,fastest
dense_1000x5000,0.001000,prox_linear_ext,cyclic,0.300000,0.000256,18.453608,20,60.000000,0.239809,fastest
dense_1000x5000,0.010000,prox_lin,cyclic,0.300000,0.019359,187.093380,20,32.000000,0.128861,fastest
dense_1000x5000,0.100000,prox_linear_ext,cyclic,0.300000,0.214091,1731.389333,20,17.000000,0.070602,fastest
dense_500x1000,0.001000,prox_point,cyclic,0.300000,0.000245,8.038876,20,61.000000,0.023665,fastest
dense_500x1000,0.010000,prox_linear_ext,cyclic,0.300000,0.016996,81.438802,19,32.000000,0.012715,fastest
dense_500x1000,0.100000,prox_linear_ext,cyclic,0.700000,0.179344,753.497398,17,17.000000,0.007000,fastest
sparse0.01_500x1000,0.001000,prox_lin,cyclic,0.300000,0.000253,9.429941,24,181.000000,0.065945,fastest
sparse0.01_500x1000,0.010000,prox_point,cyclic,0.300000,0.020063,95.647694,24,71.000000,0.026503,fastest
sparse0.01_500x1000,0.100000,prox_lin,block_shuffle,0.850000,0.181079,889.188051,19,28.000000,0.011163,fastest
