ds,lam_end_frac,scheme,rule,eta,mse,loss,nnz,ep,time,type
california,0.001000,nesterov,random,0.850000,4.803314,49637.813651,8,29000.000000,1.010060,min_loss
california,0.010000,nesterov,random,0.850000,4.808867,50200.636431,7,15000.000000,0.483559,min_loss
california,0.100000,prox_point,shuffle,0.300000,4.953074,52814.270667,3,14.000000,0.003037,min_loss
dense_1000x5000,0.001000,prox_linear_ext,random,0.950000,0.000120,18.422480,39,2121.000000,8.582790,min_loss
dense_1000x5000,0.010000,prox_point,random,0.850000,0.002360,182.814381,20,338.000000,1.365875,min_loss
dense_1000x5000,0.100000,bcm,block_shuffle,0.300000,0.214091,1731.389333,20,19.000000,0.746691,min_loss
dense_500x1000,0.001000,prox_lin,random,0.950000,0.000114,8.024252,43,1595.000000,0.643623,min_loss
dense_500x1000,0.010000,prox_point,random,0.850000,0.002184,79.575963,20,390.000000,0.154788,min_loss
dense_500x1000,0.100000,prox_linear_ext,random,0.700000,0.179344,753.497398,17,38.000000,0.016488,min_loss
sparse0.01_500x1000,0.001000,prox_linear_ext,random,0.950000,0.000108,9.413562,41,3790.000000,1.476762,min_loss
sparse0.01_500x1000,0.010000,prox_lin,cyclic,0.850000,0.002444,93.433195,24,498.000000,0.182764,min_loss
sparse0.01_500x1000,0.100000,prox_lin,cyclic,0.300000,0.181079,889.188051,19,29.000000,0.011604,min_loss
