ds,lam_end_frac,scheme,rule,eta,mse,loss,nnz,ep,time,type
california,0.001000,nesterov,random,0.950000,4.803311,49637.813754,8,90000.000000,3.324399,most_accurate
california,0.010000,nesterov,random,0.850000,4.808867,50200.636431,7,15000.000000,0.483559,most_accurate
california,0.100000,prox_linear_svrg,shuffle,0.950000,4.930830,53288.651688,4,300.000000,0.007795,most_accurate
dense_1000x5000,0.001000,nesterov,random,0.850000,0.000119,18.423984,53,29000.000000,28.069146,most_accurate
dense_1000x5000,0.010000,prox_point,random,0.850000,0.002360,182.814381,20,338.000000,1.365875,most_accurate
dense_1000x5000,0.100000,prox_linear_ext,random,0.300000,0.214091,1731.389333,20,38.000000,0.155372,most_accurate
dense_500x1000,0.001000,nesterov,random,0.950000,0.000114,8.024344,51,90000.000000,8.687394,most_accurate
dense_500x1000,0.010000,prox_point,random,0.850000,0.002184,79.575963,20,390.000000,0.154788,most_accurate
dense_500x1000,0.100000,prox_linear_ext,random,0.700000,0.179344,753.497398,17,38.000000,0.016488,most_accurate
sparse0.01_500x1000,0.001000,nesterov,random,0.950000,0.000108,9.413917,47,90000.000000,8.747789,most_accurate
sparse0.01_500x1000,0.010000,nesterov,random,0.850000,0.002441,93.458170,28,15000.000000,1.412612,most_accurate
sparse0.01_500x1000,0.100000,prox_point,random,0.300000,0.181079,889.188051,19,56.000000,0.022436,most_accurate
