ds,lam_end_frac,scheme,rule,eta,mse,loss,nnz,ep,time,type
california,0.001000,prox_linear_svrg,shuffle,0.300000,7.299000,75454.620863,8,1200.000000,0.038278,fastest
california,0.010000,prox_linear_ext,cyclic,0.300000,4.840642,50353.926844,6,109.000000,0.016488,fastest
california,0.100000,prox_linear_ext,cyclic,0.300000,4.953074,52814.270667,3,13.000000,0.002770,fastest
dense_1000x5000,0.001000,prox_lin,cyclic,0.300000,0.000256,18.453608,20,60.000000,0.234143,fastest
dense_1000x5000,0.010000,prox_lin,cyclic,0.300000,0.019359,187.093380,20,32.000000,0.126826,fastest
dense_1000x5000,0.100000,prox_point,cyclic,0.950000,0.214091,1731.389333,20,17.000000,0.068824,fastest
dense_500x1000,0.001000,prox_point,cyclic,0.300000,0.000245,8.038876,20,61.000000,0.023212,fastest
dense_500x1000,0.010000,prox_point,cyclic,0.300000,0.016996,81.438802,19,32.000000,0.012393,fastest
dense_500x1000,0.100000,prox_point,cyclic,0.950000,0.179344,753.497398,17,17.000000,0.006844,fastest
sparse0.01_500x1000,0.001000,prox_point,cyclic,0.300000,0.000253,9.429941,24,181.000000,0.066079,fastest
sparse0.01_500x1000,0.010000,prox_lin,cyclic,0.300000,0.020063,95.647694,24,71.000000,0.027707,fastest
sparse0.01_500x1000,0.100000,prox_point,cyclic,0.300000,0.181079,889.188051,19,29.000000,0.011177,fastest
california,0.001000,nesterov,random,0.850000,4.803309,49637.813749,8,29000.000000,1.010164,most_accurate
california,0.010000,nesterov,random,0.850000,4.808821,50200.727772,8,15000.000000,0.459740,most_accurate
california,0.100000,prox_linear_svrg,shuffle,0.850000,4.942417,52904.671528,4,300.000000,0.008325,most_accurate
dense_1000x5000,0.001000,nesterov,random,0.950000,0.000119,18.425011,54,84120.000000,86.382441,most_accurate
dense_1000x5000,0.010000,prox_linear_ext,random,0.850000,0.002360,182.814381,20,395.000000,1.591111,most_accurate
dense_1000x5000,0.100000,prox_linear_ext,random,0.950000,0.214091,1731.389333,20,35.000000,0.143686,most_accurate
dense_500x1000,0.001000,nesterov,random,0.950000,0.000114,8.024368,53,86084.000000,8.115874,most_accurate
dense_500x1000,0.010000,prox_point,random,0.850000,0.002184,79.575963,20,332.000000,0.130729,most_accurate
dense_500x1000,0.100000,nesterov,random,0.950000,0.179181,755.071191,20,1000.000000,0.092907,most_accurate
sparse0.01_500x1000,0.001000,nesterov,random,0.950000,0.000108,9.413611,45,90000.000000,8.667108,most_accurate
sparse0.01_500x1000,0.010000,prox_linear_ext,random,0.850000,0.002444,93.433195,24,806.000000,0.322406,most_accurate
sparse0.01_500x1000,0.100000,prox_linear_ext,random,0.950000,0.181079,889.188051,19,52.000000,0.021002,most_accurate
