ds,scheme,rule,mse,loss,nnz,ep,time
dense_500x1000,nesterov,random,0.0102130634341,158.266192577,23,10000,1.242513083
dense_500x1000,nesterov_ls,random,0.0102228113575,158.209491386,19,139,0.0626050419996
dense_500x1000,prox_lin,cyclic,0.0102228079117,158.209491268,19,53,0.024075794001
dense_500x1000,prox_lin,shuffle,0.0102228096306,158.209491327,19,65,0.0302686569994
dense_500x1000,prox_lin,random,0.0102228113575,158.209491386,19,139,0.0620059449975
dense_500x1000,prox_lin,block_shuffle,0.0102228160003,158.209491544,19,61,0.0278452150014
dense_500x1000,prox_lin,gs_r,0.0102228095463,158.209491324,19,47,0.0466988459993
dense_500x1000,prox_lin,gsl_r,0.0102228095463,158.209491324,19,47,0.0478719309976
dense_500x1000,prox_point,cyclic,0.0102228079117,158.209491268,19,53,0.024201166998
dense_500x1000,prox_point,shuffle,0.0102228194951,158.209491663,19,54,0.0271739070013
dense_500x1000,prox_point,random,0.0102227485568,158.209489243,19,159,0.0688714690004
dense_500x1000,prox_point,block_shuffle,0.0102228082453,158.20949128,19,55,0.0269948019995
dense_500x1000,prox_point,gs_r,0.0102228095463,158.209491324,19,47,0.0456393700006
dense_500x1000,prox_point,gsl_r,0.0102228095463,158.209491324,19,47,0.0454558409983
dense_500x1000,prox_linear_ext,cyclic,0.0102228079117,158.209491268,19,53,0.0242412100015
dense_500x1000,prox_linear_ext,shuffle,0.0102228194951,158.209491663,19,54,0.0259630910004
dense_500x1000,prox_linear_ext,random,0.0102228101782,158.209491346,19,202,0.0885703690001
dense_500x1000,prox_linear_ext,block_shuffle,0.0102228082453,158.20949128,19,55,0.0256727929991
dense_500x1000,prox_linear_ext,gs_r,0.0102228095463,158.209491324,19,47,0.0472247319994
dense_500x1000,prox_linear_ext,gsl_r,0.0102228095463,158.209491324,19,47,0.0469701639995
dense_500x1000,prox_linear_sgd,shuffle,21.1904336758,5297.60841894,0,790,1.422860097
dense_500x1000,prox_linear_svrg,shuffle,0.0102228099083,158.209491336,19,128,0.549368647
dense_500x1000,bcm,cyclic,0.0102228079559,158.20949127,19,69,0.299101506
dense_500x1000,bcm,shuffle,0.0102228273934,158.209491933,19,68,0.293476439998
dense_500x1000,bcm,random,0.0102228273934,158.209491933,19,63,0.272690469999
dense_500x1000,bcm,block_shuffle,0.0102228273934,158.209491933,19,63,0.275068948999
dense_500x1000,bcm,gs_r,0.0102228273934,158.209491933,19,63,0.274714322
dense_500x1000,bcm,gsl_r,0.01022283628,158.209492236,19,63,0.275520310999
dense_1000x5000,nesterov,random,0.011579085042,363.544072165,20,200,0.236610844
dense_1000x5000,nesterov_ls,random,0.0115798719845,363.544125821,20,131,0.585741593
dense_1000x5000,prox_lin,cyclic,0.0115799208709,363.544129155,20,50,0.238517669
dense_1000x5000,prox_lin,shuffle,0.0115799211853,363.544129177,20,57,0.280014274002
dense_1000x5000,prox_lin,random,0.0115800083243,363.544135126,20,126,0.564115338999
dense_1000x5000,prox_lin,block_shuffle,0.0115799420067,363.544130598,20,54,0.256730739999
dense_1000x5000,prox_lin,gs_r,0.0115799232428,363.544129317,20,41,0.408739342998
dense_1000x5000,prox_lin,gsl_r,0.0115799232428,363.544129317,20,41,0.424950256001
dense_1000x5000,prox_point,cyclic,0.0115799208709,363.544129155,20,50,0.245448155001
dense_1000x5000,prox_point,shuffle,0.0115799360595,363.544130192,20,58,0.287249626002
dense_1000x5000,prox_point,random,0.011579940334,363.544130484,20,116,0.5273929
dense_1000x5000,prox_point,block_shuffle,0.0115799307326,363.544129828,20,57,0.268864689999
dense_1000x5000,prox_point,gs_r,0.0115799232428,363.544129317,20,41,0.408855133002
dense_1000x5000,prox_point,gsl_r,0.0115799232428,363.544129317,20,41,0.406627214001
dense_1000x5000,prox_linear_ext,cyclic,0.0115799208709,363.544129155,20,50,0.238928232
dense_1000x5000,prox_linear_ext,shuffle,0.0115799239222,363.544129363,20,56,0.275229037001
dense_1000x5000,prox_linear_ext,random,0.0115799573718,363.544131647,20,175,0.766106390001
dense_1000x5000,prox_linear_ext,block_shuffle,0.0115799327905,363.544129969,20,55,0.260370432999
dense_1000x5000,prox_linear_ext,gs_r,0.0115799232428,363.544129317,20,41,0.411202699001
