ds,scheme,rule,eta,lam_end_frac,mse,loss,nnz,ep,time
dense_500x1000,nesterov,random,0.300000,0.100000,0.179588,753.849773,18,1000.000000,0.110160
dense_500x1000,nesterov_ls,random,0.300000,0.100000,4.457017,1815.559600,302,1000.000000,0.125486
dense_500x1000,prox_lin,cyclic,0.300000,0.100000,0.179344,753.497398,17,17.000000,0.007084
dense_500x1000,prox_lin,shuffle,0.300000,0.100000,0.179344,753.497398,17,19.000000,0.008200
dense_500x1000,prox_lin,random,0.300000,0.100000,0.179344,753.497398,17,30.000000,0.012479
dense_500x1000,prox_lin,block_shuffle,0.300000,0.100000,0.179344,753.497398,17,19.000000,0.007887
dense_500x1000,prox_lin,gs_r,0.300000,0.100000,0.179344,753.497398,17,16.000000,0.013139
dense_500x1000,prox_lin,gsl_r,0.300000,0.100000,0.179344,753.497398,17,16.000000,0.013126
dense_500x1000,prox_point,cyclic,0.300000,0.100000,0.179344,753.497398,17,17.000000,0.007027
dense_500x1000,prox_point,shuffle,0.300000,0.100000,0.179344,753.497398,17,19.000000,0.008490
dense_500x1000,prox_point,random,0.300000,0.100000,0.179344,753.497398,17,30.000000,0.012509
dense_500x1000,prox_point,block_shuffle,0.300000,0.100000,0.179344,753.497398,17,19.000000,0.008636
dense_500x1000,prox_point,gs_r,0.300000,0.100000,0.179344,753.497398,17,16.000000,0.014343
dense_500x1000,prox_point,gsl_r,0.300000,0.100000,0.179344,753.497398,17,16.000000,0.013987
dense_500x1000,prox_linear_ext,cyclic,0.300000,0.100000,0.179344,753.497398,17,17.000000,0.007814
dense_500x1000,prox_linear_ext,shuffle,0.300000,0.100000,0.179344,753.497398,17,19.000000,0.008570
dense_500x1000,prox_linear_ext,random,0.300000,0.100000,0.179344,753.497398,17,37.000000,0.016092
dense_500x1000,prox_linear_ext,block_shuffle,0.300000,0.100000,0.179344,753.497398,17,19.000000,0.008862
dense_500x1000,prox_linear_ext,gs_r,0.300000,0.100000,0.179344,753.497398,17,16.000000,0.013860
dense_500x1000,prox_linear_ext,gsl_r,0.300000,0.100000,0.179344,753.497398,17,16.000000,0.013395
dense_500x1000,prox_linear_sgd,shuffle,0.300000,0.100000,21.190434,5297.608419,0,789.000000,1.498984
dense_500x1000,prox_linear_svrg,shuffle,0.300000,0.100000,0.179344,753.497398,17,22.000000,0.083418
dense_500x1000,bcm,cyclic,0.300000,0.100000,0.179344,753.497398,17,20.000000,0.075513
dense_500x1000,bcm,shuffle,0.300000,0.100000,0.179344,753.497398,17,20.000000,0.077269
dense_500x1000,bcm,random,0.300000,0.100000,0.179344,753.497398,17,20.000000,0.074931
dense_500x1000,bcm,block_shuffle,0.300000,0.100000,0.179344,753.497398,17,20.000000,0.074651
dense_500x1000,bcm,gs_r,0.300000,0.100000,0.179344,753.497398,17,19.000000,0.071277
dense_500x1000,bcm,gsl_r,0.300000,0.100000,0.179344,753.497398,17,19.000000,0.071519
dense_500x1000,nesterov,random,0.500000,0.100000,0.181694,756.810866,21,1000.000000,0.095724
dense_500x1000,nesterov_ls,random,0.500000,0.100000,4.456317,1815.534072,302,1000.000000,0.114640
dense_500x1000,prox_lin,cyclic,0.500000,0.100000,0.179344,753.497398,17,17.000000,0.007026
dense_500x1000,prox_lin,shuffle,0.500000,0.100000,0.179344,753.497398,17,19.000000,0.008121
dense_500x1000,prox_lin,random,0.500000,0.100000,0.179344,753.497398,17,33.000000,0.013710
dense_500x1000,prox_lin,block_shuffle,0.500000,0.100000,0.179344,753.497398,17,19.000000,0.007860
dense_500x1000,prox_lin,gs_r,0.500000,0.100000,0.179344,753.497398,17,16.000000,0.013031
dense_500x1000,prox_lin,gsl_r,0.500000,0.100000,0.179344,753.497398,17,16.000000,0.013156
dense_500x1000,prox_point,cyclic,0.500000,0.100000,0.179344,753.497398,17,17.000000,0.007269
dense_500x1000,prox_point,shuffle,0.500000,0.100000,0.179344,753.497398,17,19.000000,0.008140
dense_500x1000,prox_point,random,0.500000,0.100000,0.179344,753.497398,17,33.000000,0.013723
dense_500x1000,prox_point,block_shuffle,0.500000,0.100000,0.179344,753.497398,17,19.000000,0.007820
dense_500x1000,prox_point,gs_r,0.500000,0.100000,0.179344,753.497398,17,16.000000,0.013140
dense_500x1000,prox_point,gsl_r,0.500000,0.100000,0.179344,753.497398,17,16.000000,0.013160
dense_500x1000,prox_linear_ext,cyclic,0.500000,0.100000,0.179344,753.497398,17,17.000000,0.007053
dense_500x1000,prox_linear_ext,shuffle,0.500000,0.100000,0.179344,753.497398,17,19.000000,0.008223
dense_500x1000,prox_linear_ext,random,0.500000,0.100000,0.179344,753.497398,17,38.000000,0.015726
dense_500x1000,prox_linear_ext,block_shuffle,0.500000,0.100000,0.179344,753.497398,17,19.000000,0.007841
dense_500x1000,prox_linear_ext,gs_r,0.500000,0.100000,0.179344,753.497398,17,16.000000,0.013039
dense_500x1000,prox_linear_ext,gsl_r,0.500000,0.100000,0.179344,753.497398,17,16.000000,0.013204
dense_500x1000,prox_linear_sgd,shuffle,0.500000,0.100000,21.190434,5297.608419,0,792.000000,1.357123
dense_500x1000,prox_linear_svrg,shuffle,0.500000,0.100000,0.179344,753.497398,17,22.000000,0.083010
dense_500x1000,bcm,cyclic,0.500000,0.100000,0.179344,753.497398,17,20.000000,0.074772
dense_500x1000,bcm,shuffle,0.500000,0.100000,0.179344,753.497398,17,20.000000,0.074659
dense_500x1000,bcm,random,0.500000,0.100000,0.179344,753.497398,17,20.000000,0.074819
dense_500x1000,bcm,block_shuffle,0.500000,0.100000,0.179344,753.497398,17,20.000000,0.074981
dense_500x1000,bcm,gs_r,0.500000,0.100000,0.179344,753.497398,17,20.000000,0.075346
dense_500x1000,bcm,gsl_r,0.500000,0.100000,0.179344,753.497398,17,20.000000,0.077507
dense_500x1000,nesterov,random,0.700000,0.100000,0.186547,765.141478,22,1000.000000,0.102173
dense_500x1000,nesterov_ls,random,0.700000,0.100000,4.460127,1816.167382,301,1000.000000,0.113358
dense_500x1000,prox_lin,cyclic,0.700000,0.100000,0.179344,753.497398,17,17.000000,0.007088
dense_500x1000,prox_lin,shuffle,0.700000,0.100000,0.179344,753.497398,17,19.000000,0.008181
dense_500x1000,prox_lin,random,0.700000,0.100000,0.179344,753.497398,17,29.000000,0.012052
dense_500x1000,prox_lin,block_shuffle,0.700000,0.100000,0.179344,753.497398,17,19.000000,0.007894
dense_500x1000,prox_lin,gs_r,0.700000,0.100000,0.179344,753.497398,17,16.000000,0.013285
dense_500x1000,prox_lin,gsl_r,0.700000,0.100000,0.179344,753.497398,17,16.000000,0.013185
dense_500x1000,prox_point,cyclic,0.700000,0.100000,0.179344,753.497398,17,17.000000,0.007267
dense_500x1000,prox_point,shuffle,0.700000,0.100000,0.179344,753.497398,17,19.000000,0.008133
dense_500x1000,prox_point,random,0.700000,0.100000,0.179344,753.497398,17,29.000000,0.012192
dense_500x1000,prox_point,block_shuffle,0.700000,0.100000,0.179344,753.497398,17,19.000000,0.007815
dense_500x1000,prox_point,gs_r,0.700000,0.100000,0.179344,753.497398,17,16.000000,0.013495
dense_500x1000,prox_point,gsl_r,0.700000,0.100000,0.179344,753.497398,17,16.000000,0.013432
dense_500x1000,prox_linear_ext,cyclic,0.700000,0.100000,0.179344,753.497398,17,17.000000,0.007000
dense_500x1000,prox_linear_ext,shuffle,0.700000,0.100000,0.179344,753.497398,17,19.000000,0.009852
dense_500x1000,prox_linear_ext,random,0.700000,0.100000,0.179344,753.497398,17,38.000000,0.016488
dense_500x1000,prox_linear_ext,block_shuffle,0.700000,0.100000,0.179344,753.497398,17,19.000000,0.007927
dense_500x1000,prox_linear_ext,gs_r,0.700000,0.100000,0.179344,753.497398,17,16.000000,0.013045
